T-N(mg/L),Wtemp,Htemp,Ltemp,EC(μS/cm),DTN(mg/L),NO₃-N(mg/L),NH₃-N(mg/L),Chlorophyll-a(mg/㎥)
5.752,15,23.9,9.8,262,5.322,2.073,1.958,30.5
6.81,15,14.1,7.9,308,6.653,1.956,3.827,74.2
4.944,13,13,7.7,236,4.55,1.897,1.701,19.2
4.248,15,22.5,8.6,247,4.168,1.948,1.817,9.3
5.912,19,29.2,15.3,243,5.568,1.875,1.97,30.1
3.352,19,22.4,13.7,216,3.184,1.601,1.257,24.6
3.966,19,27.3,15.1,192,3.87,1.404,0.878,10.6
3.439,21,29.7,18.7,218,3.435,1.852,1.246,22.5
2.916,22,22.2,17.9,194,2.448,1.441,0.85,12.5
2.336,21,22.2,16.9,172,2.11,1.255,0.747,12
2.652,22,23.1,19.6,175,2.442,1.545,0.753,26.4
2.978,23,30,19.7,192,2.812,1.549,0.902,36.9
3.734,24,27.4,20.7,200,3.57,1.383,1.919,14
2.074,21,30.3,22.5,134,1.938,1.518,0.062,2.1
2.054,20,25.9,19.9,111,1.942,1.567,0.066,1.3
2.316,22,30,21.2,133,2.25,1.829,0.073,2.6
2.982,25,30.4,21.5,160,2.8,1.826,0.838,17.1
2.324,26,32.3,23,154,2.233,1.593,0.3,25.3
1.585,22,25.9,22.4,85,1.475,1.171,0.067,4.7
2.458,25,31.8,25.1,127,2.384,1.633,0.474,12.2
2.303,25,26.3,22.1,141,2.268,1.551,0.41,12.1
2.899,24,28.6,18.7,163,2.856,1.725,1.026,14.1
2.987,24,27.2,19.1,162,2.944,1.653,0.931,24.3
3.191,23,25.8,16.6,188,3.069,1.629,1.054,55.3
5.65,23,28.1,18,260,4.538,1.77,2.59,52
5.17,20,23.7,13.7,266,4.77,2.142,1.552,77.7
5.402,19,20.1,10.8,308,5.396,2.127,2.797,45.2
4.968,16,18.5,9.8,271,4.91,2.203,1.801,48.6
5.337,17,20,10.5,268,4.665,1.799,2.171,54.2
9.546,14,16.3,4.3,285,9.222,2.48,2.455,42.7
6.213,13,13.9,6.4,236,6.144,2.065,1.787,19
8.559,9,3.1,-4.3,278,8.253,2.778,1.781,42.3
5.826,9,7.5,4.4,306,5.64,2.95,1.719,62.9
5.508,9,8,3.1,268,4.332,2.353,1.63,37.8
6.234,6,8.6,0.9,292,5.992,3.042,0.177,19.4
5.468,4,-3,-9.2,245,5.114,2.558,2.218,15.1
5.734,4,7.7,1.5,258,5.528,2.818,1.24,16.5
6.093,2,-10.7,-15.3,281,5.932,2.8,2.002,6
6.59,3,8.4,2.4,281,6.531,2.961,2.888,8.9
4.632,2,3.1,-4,244,4.616,2.407,1.716,9.3
8.386,1,-5,-10.8,300,6.924,2.931,3.41,27.7
7.646,3,5,3.1,321,7.472,2.579,4.665,19.2
5.468,2,0.3,-7.2,264,5.21,2.637,2.042,68
5.956,6,17.9,5.5,265,5.86,2.412,2.817,64.8
4.028,6,10.2,-1.5,231,3.808,2.091,1.222,34.4
4.89,6,0.5,-4,249,4.756,2.165,1.705,29.6
3.576,6,3.1,-1.9,199,3.556,2.112,0.827,31.6
3.962,7,13.8,4.3,205,3.94,2.101,1.282,26.1
4.174,8,8.7,5.9,212,3.92,2.105,0.896,29.3
4.34,11,12.6,2.3,234,4.318,1.997,1.915,18.3
3.99,10,6.4,1.2,223,3.654,1.987,1.332,29.6
4.034,11,18.5,10.7,221,3.964,1.956,1.258,29
4.316,11,7.8,3.3,221,4.206,1.946,1.767,22.7
3.56,15,25.3,18.2,213,3.43,1.843,1.374,42.2
3.624,17,19.6,8.7,198,3.344,1.76,1.162,38.4
3.256,17,20.9,14.5,193,3.136,1.741,0.859,16
2.85,18,21.7,14,177,2.846,1.848,0.671,8.3
2.97,18,26.2,12.1,178,2.936,1.909,0.47,16.4
3.42,22,30.6,20.5,193,3.344,1.841,0.298,20.2
2.698,21,25.6,20.2,180,2.629,1.667,0.858,8.8
3.423,24,28.6,16.7,197,3.238,1.521,0.981,10.8
4.454,24,24.8,20.6,238,4.384,2.008,1.892,55.5
3.476,26,29.6,22.4,227,3.268,1.901,0.974,143.7
3.978,26,27.7,21.8,256,3.939,1.77,1.641,56.4
2.824,25,29.7,26.3,147,2.77,1.923,0.508,28.9
3.09,26,31.2,23.7,157,3.057,2.002,0.361,67.7
3.063,27,31.9,25.8,177,3.035,1.983,0.692,39.3
2.879,27,32.7,25,171,2.846,1.739,0.818,21
2.791,25,31.2,22.2,112,2.749,2.155,0.255,3.5
2.716,25,22.5,19.9,128,2.62,2.113,0.184,10.8
2.385,23,24.3,21.6,115,2.371,1.983,0.088,6.9
2.717,23,30.5,19.2,144,2.664,2.16,0.356,7.2
2.615,21,23.2,11.9,123,2.583,2.273,0.1,1.6
2.966,19,16.8,9.8,182,2.868,2.423,0.279,2.7
2.869,19,22.1,11.2,176,2.855,2.284,0.233,9.2
3.865,19,19.6,12.9,217,3.708,2.458,0.736,25.2
4.214,18,19.5,12.7,231,4.144,2.779,0.832,26.7
5.265,14,10.1,0.7,281,5.25,3.145,1.396,19.3
4.697,14,12.6,0.8,305,4.586,3.28,1.166,29.4
4.557,11,9.1,-0.5,296,4.495,2.871,1.319,38.3
3.795,10,11.3,3,272,3.686,2.767,0.543,35.2
4.431,9,10.7,3.7,288,4.213,2.781,1.055,26
4.684,7,10.4,5.3,324,4.602,3.14,1.331,29
5.96,6,2.2,-2.1,343,5.71,3.273,1.756,65.2
5.676,3,-7.3,-12.7,335,5.318,3.191,1.367,56.7
5.194,4,8.3,0.3,275,5.038,2.929,1.348,29.1
4.682,1,-1.8,-7.7,264,4.53,2.595,1.844,21.2
6.928,2,-4.9,-11.1,333,6.789,3.406,2.687,31.6
5.568,1,-3.2,-10,295,5.343,2.929,2.034,27.6
5.71,1,-5.2,-10.7,304,5.517,2.314,3.193,30.6
5.614,2,2.1,-4.1,240,5.352,2.412,1.95,40.4
5.088,3,4.3,-5,230,5.04,2.052,2.719,52.6
5.796,5,10.5,2.8,242,5.51,2.177,3.176,75.2
4.364,4,1.6,-4.2,208,3.934,1.915,1.782,48.9
5.542,5,4.4,-2.4,247,5.218,2.164,2.731,58.2
5.038,7,3.2,-3.1,216,4.872,2.16,1.873,64.2
4.442,7,7.3,-2.2,213,4.252,1.988,1.748,35.5
4.562,8,13.6,2.3,218,4.4,2.033,1.658,39.9
5.306,11,16.6,5.2,226,4.942,1.99,1.951,50
4.182,13,17.4,5.7,221,3.872,2.109,1.189,35.9
4.374,13,16.8,6.3,224,4.314,2.091,1.582,31.8
5.214,14,14.2,8.7,245,4.892,2.178,1.961,21.5
4.436,14,21.8,10.6,177,4.3,2.985,0.796,7.7
3.642,16,20.2,11.5,170,3.496,2.727,0.428,7.5
4.112,17,25.4,13.8,183,3.884,2.784,0.582,8
3.176,16,28.2,16.7,190,3.082,2.477,0.254,6.5
